nameofjob,nameofcompany,location,jobannouncementtime,jobtype,workmode,skills,joblink,Salary,job_skills,description,requirements
Senior Data Engineer,Omnix International LLC -,"Cairo, Egypt",1 month ago,Full Time,Remote,"Full Time
Remote
Experienced · 5 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology ·
Azure Datafactory
·
Azure Data Factory
· Azure Synapses
· Azure pureview
· Computer Science
·
Data
·
Data Management
·
Engineering",https://wuzzuf.net/jobs/p/s0cnp9wzswjk-senior-data-engineer-omnix-international-llc-cairo-egypt,1500 To 2200 USD Per Month,"Azure Datafactory
Azure Data Factory
Azure Synapses
Azure pureview
Computer Science
Data
Data Management
Engineering
Information Technology (IT)
Python
Software Development
SQL
Azure","Job Title: Senior Data Engineer (Azure Data Engineer)
Job Location: Egypt (Remote/Hybrid)
Experience: at least 5 years in Data Engineering/Data Pipelines using Azure
 We’re looking for a Senior Data Engineer with 5+ years of experience building and managing data pipelines, primarily using Azure technologies. You’ll be responsible for ingesting, transforming, and integrating data from diverse sources to support analytics, master data management, and business decision-making.
 Roles & Responsibilties:
 Data Pipeline Development:
Build scalable ETL/ELT pipelines using Azure Data Factory.
Ensure smooth data movement across staging, processing, and analytical layers.
Optional: Use Azure Synapse Analytics for advanced processing.
 Data Source Analysis:
Analyze multiple structured and unstructured data sources to understand schemas, data quality, and relationships.
Assess and document the metadata, formats, and business rules of incoming data sets.
 Data Profiling & Matching:
Perform comprehensive data profiling to assess completeness, accuracy, uniqueness, and consistency of data.
Develop logic to match and reconcile records across different systems using keys, rules, or fuzzy matching techniques.
 Master Data Management (MDM):
Design and implement processes for building and maintaining golden master records.
Support creation and maintenance of master data across domains such as customer, product, asset, etc.
Handle data deduplication and standardization.
 ETL & Data Pipelines:
Build scalable data pipelines using Azure Data Factory for ingesting, transforming, and cleansing data from multiple sources.
Ensure efficient data movement across staging, processing, and analytical layers.
Leverage Azure Synapse Analytics (optional) for advanced data processing and analytics.
 Collaboration & Governance:
Work closely with business analysts, data stewards, and application owners to understand data definitions and ownership.
Enforce data governance standards and best practices.
 Performance & Optimization:
Monitor data workflows and optimize performance for large-scale processing.
Troubleshoot data issues and implement robust logging and monitoring.
 Required Qualifications:
5+ years of experience in data engineering and pipeline development.
Strong hands-on expertise with Azure Data Factory and SQL.
Proficiency in Python or PySpark for data processing.
Experience in data profiling, matching, and master data management (MDM).
Fluent in Arabic and English.
 Preferred Skills:
Experience with Azure Synapse, Azure Purview, or similar tools.
Familiarity with data modeling, cataloging, and privacy standards (e.g., GDPR).
Knowledge of ETL tools like Talend, SSIS, or Informatica is a plus.","5+ years of experience in data engineering and pipeline development.
Strong hands-on expertise with Azure Data Factory and SQL.
Proficiency in Python or PySpark for data processing.
Experience in data profiling, matching, and master data management (MDM).
Fluent in Arabic and English."
Enterprise Data Warehouse and Business intelligence Engineer (Microsoft Technology SSIS-SSAS),"The Micro, Small & Medium Enterprise Development Agency -","Dokki, Giza, Egypt",1 month ago,Full Time,On-site,"Full Time
On-site
Entry Level · 1 - 5 Yrs of Exp · IT/Software Development
· BI
· Business Intelligence
·
Data Warehousing
· Power BI
· SSAS
· SSIS
· Computer Science
·
Data Analysis
·
Engineering",https://wuzzuf.net/jobs/p/jchrh3unqyz6-enterprise-data-warehouse-and-business-intelligence-engineer-microsoft-technology-ssis-ssas-the-micro-small-medium-enterprise-development-agency-giza-egypt,Confidential,"BI
Business Intelligence
Data Warehousing
Power BI
SSAS
SSIS
Computer Science
Data Analysis
Engineering
ETL
Information Technology (IT)
SQL","Lead the design and development of data warehouse solutions tailored for complex projects, managing large volumes of data with Microsoft SQL Server Integration Services (SSIS) for efficient extraction, transformation, and loading (ETL).
Harness the power of Microsoft SQL Server Analysis Services (SSAS) to architect and implement multidimensional and tabular data models capable of handling extensive datasets, facilitating in-depth business analysis and reporting.
Develop highly interactive reports, dashboards, and paginated reports using Microsoft SQL Server Reporting Services (SSRS) and MS Power BI to distill insights from vast datasets, leveraging advanced visualization techniques and AI capabilities to provide actionable insights.
Drive optimization efforts for data warehouse performance and scalability, utilizing cutting-edge techniques and best practices in SSIS, SSAS, SSRS, and Power BI to ensure seamless operations in the face of complex project requirements and massive data volumes.
Collaborate closely with business stakeholders to meticulously gather and refine requirements, translating them into actionable data solutions that align with project objectives and effectively address the challenges posed by large-scale data processing.
Provide invaluable technical leadership and mentorship to junior team members, guiding them through the intricacies of managing complex projects and large datasets within the Microsoft BI ecosystem, while fostering their growth into proficient BI professionals.
Proactively monitor system performance and implement robust solutions to enhance data quality, reliability, and efficiency, safeguarding the integrity and accuracy of insights derived from extensive datasets in mission-critical projects.","Bachelor’s degree in computer science, engineering, or related field
3-5 years of hands-on experience in data warehousing, BI development, or related roles, with a proven track record of successfully managing complex projects and large volumes of data using Microsoft technologies.
Proficiency in Microsoft SQL Server Integration Services (SSIS) for ETL development and automation, particularly in the context of handling substantial datasets and intricate project requirements.
Extensive experience with Microsoft SQL Server Analysis Services (SSAS), adept at architecting and implementing robust data models capable of accommodating the complexities of large-scale data analysis.
Strong skills in Microsoft SQL Server Reporting Services (SSRS) and MS Power BI, demonstrating proficiency in developing impactful reports and visualizations, as well as leveraging AI capabilities for enhanced insights.
Preferred Experience with AI technologies and machine learning within the context of BI solutions preferred, showcasing the ability to integrate AI-driven analytics to provide predictive and prescriptive insights.
Exceptional SQL skills for data manipulation, querying, and optimization, essential for efficiently managing and processing vast amounts of data within the context of complex projects.
In-depth understanding of data warehousing concepts, dimensional modeling, and data governance principles, crucial for designing and implementing scalable solutions capable of meeting the demands of large-scale data processing"
Software Engineer (AI & Data Analytics),Confidential -,"Maadi, Cairo, Egypt",1 month ago,Full Time,On-site,"Full Time
On-site
Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Analysis
· Information Technology (IT)
· Cloud
·
Software Engineering
· Software Development
· Java
· Programming
· AWS",https://wuzzuf.net/jobs/p/hllsrabdljox-software-engineer-ai-data-analytics-cairo-egypt,Confidential,"Analysis
Information Technology (IT)
Cloud
Software Engineering
Software Development
Java
Programming
AWS
Python
Azure","As a Software Engineer, your main role will be to harness the power of AI and machine learning to analyze large datasets of voice recordings. You'll develop algorithms to process speech, extract meaningful data, and automate decision-making processes. This role will focus heavily on AI-driven insights, speech recognition, and sentiment analysis to provide actionable data for business improvement.
Responsibilities include:
Develop and implement AI models for speech-to-text conversion and sentiment analysis.
Build data pipelines for processing and analyzing large volumes of voice data.
Use machine learning algorithms to extract insights from voice recordings, such as customer sentiment, intent, and key topics.
Collaborate with cross-functional teams to drive AI-powered solutions that improve customer service.
Design automated systems to categorize and route calls based on analysis of recorded conversations.
Work with stakeholders to design intuitive data visualizations and reports for actionable insights.
Continuously improve AI models and algorithms for greater accuracy and efficiency.","Strong background in AI, machine learning, or data science, with a focus on speech data.
Experience with speech recognition technologies, NLP, or sentiment analysis.
Proficiency in programming languages such as Python or Java.
Familiarity with AI frameworks (TensorFlow, Py Torch, etc.) and data processing libraries.
Experience working with cloud-based AI services (AWS, GCP, Azure).
Strong problem-solving skills and ability to innovate in the AI space.
Excellent communication and collaboration skills.
Preferred Qualifications:
Experience with large-scale data analysis and natural language processing.
Familiarity with customer service or call center environments.
Previous experience deploying AI models in production environments."
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt",4 days ago,Full Time,Hybrid,"Full Time
Part Time
Freelance / Project
Hybrid
Entry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor ·
Data Science
· Computer Science
·
Computer Engineering
· Python
· Machine Learning
· Deep Learning
· Artificial Intelligence (AI)",https://wuzzuf.net/jobs/p/f2mpxj1rzhp1-data-science-instructor-epsilonai-cairo-egypt,300 To 600 EGP Per Hour,"Data Science
Computer Science
Computer Engineering
Python
Machine Learning
Deep Learning
Artificial Intelligence (AI)
Software Engineering
OOP
Programming
Mathematics
Mathematics Teaching
Mathematics Curriculum
applied mathematics
Information Technology (IT)
Software Development","Epsilon AI Academy is hiring Data Science instructors who Manage and delivers the course materials to trainees in an engaging thought-provoking manner
The successful candidate will be able to contribute to the delivery of topics relating to Artificial Intelligence, Machine Learning, Data Science and Programming
Engage in the classroom and reply to emails, Trainees’ questions, etc. within 24 hours on non-holiday weekdays.
Evaluate and grade Trainees' class work, assignments, and papers within the timeframe set forth by Epsilon AI policy providing effective feedback to guide Trainees' learning and success.
Maintain the cadence of the course: Keep Trainees on track, monitor each individual's progress, and design and implement learning or service interventions when Trainees fall behind","Expert level in Python including Numpy, Pandas, Scikit-learn
Proficiency in Relational and non-relational databases, and Cloud computing with in-depth knowledge of machine learning and artificial intelligence libraries, and APIs.
Strong foundation in Mathematics
Expert level in MLlib
Excellent programming skills (including OOP and preferably functional programming)
Solid Understanding of Machine Learning Models; Data Preparation, Cleaning up data; Mathematics; Model Deployment
Solid understanding of Data Science techniques
Excellent software engineering skills (Agile methodologies, Git, continuous development, etc.)
Lead project sprints, helping Trainees scope and execute larger technical projects to demonstrate mastery of each content module
Diligently respond to Trainees needs and questions during the course schedule
Acts as a technical mentor guiding Trainees on a technical journey of discovery
Working experience in data science
Bachelor’s degree (or higher) in -Computer Science or related field preferred
A minimum of 1-year experience with research/development/application of Data Science
Experience using technology and interactive electronic materials to support teaching and learning.
Experience using a Learning Management System such as Google Classroom, Canvas"
Electrical Pre Sales Engineer,UNI Power -,"6th of October, Giza, Egypt",1 day ago,Full Time,On-site,"Full Time
On-site
Experienced · 2 - 4 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical ·
Electrical Engineering
· Pre-Sales
· Datecenter
· AutoCAD
· Electrical Design
· Power Systems Analysis
· Low Voltage & Medium Voltage Systems",https://wuzzuf.net/jobs/p/hnguhotyvntx-electrical-pre-sales-engineer-uni-power-giza-egypt,Confidential,"Electrical Engineering
Pre-Sales
Datecenter
AutoCAD
Electrical Design
Power Systems Analysis
Low Voltage & Medium Voltage Systems
PLC & SCADA Systems
Renewable Energy Solutions
UPS & Power Quality Solutions
Switchgear, MCC, and Distribution Panels
Cabling & Wiring Calculations
Revit MEP
Solar Energy
Data Center Management","#Position_Overview:

The selected candidate will be responsible for designing reliable, efficient, and scalable power and cooling infrastructures for data centers, including UPS, batteries, precision cooling, power distribution, and fire suppression systems.
This role will work closely with sales, presales engineers and vendors to deliver technical and commercial proposals that meet international standards and customer requirements.

#Key_Responsibilities:

1-Provide in-depth technical knowledge and support for power and cooling infrastructure for data centers.
2-Prepare technical proposals, BOQ, single-line diagrams, and design documents for customer tenders and RFPs.
3-Support sales and presales team in customer presentations, workshops, and solution defense meetings.
4-Participate in site surveys and assessments to validate requirements.
5-Analyze customer requirements and design customized solutions that meet their specific needs and align with industry best practices.
6-Developing and delivering technical presentations, proposals, and product demonstrations to potential clients.
7-Build and maintain strong relationships with customers, understanding their technical requirements and providing expert guidance throughout the sales process.
8-Stay updated on the latest industry trends, technologies, and product developments to effectively position our solutions in the market.
9-Work closely with cross-functional teams, including sales and execution sector to ensure a seamless transition from pre-sales to implementation.
 ","#Qualifications:

1-Education: Bachelor’s degree in Electrical Engineering.
2-Certificates: CDCP or CDCS is recommended. 
3-Experience: Minimum of 4 years of experience in data center design."
AI Researcher / AI Engineer,Arabian Data -,"Nasr City, Cairo, Egypt",6 days ago,Full Time,On-site,"Full Time
On-site
Student · 1+ Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology
· Machine Learning
· Natural Language Processing
· Deep Learning
· Artificial Intelligence
· Computer Vision
·
Data Engineering
· Statistical Modeling",https://wuzzuf.net/jobs/p/xxac9og6lkka-ai-researcher-ai-engineer-arabian-data-cairo-egypt,"Confidential, - Competitive Salary - Equity Options - Bonuses. - Paid Time Off - Health Insurance - Fast-Paced Startup Environment With Direct Impact","Machine Learning
Natural Language Processing
Deep Learning
Artificial Intelligence
Computer Vision
Data Engineering
Statistical Modeling
Algorithm Development
Data Analysis
Scientific Research
Research
Research Analysis","We are seeking a talented AI Researcher / AI Engineer who thrives at the intersection of research and engineering. In this role, you will design, implement, and evaluate cutting-edge models for natural language processing, computer vision, and speech technologies, with a strong focus on Arabic-language AI systems. You will collaborate closely with our data annotation and infrastructure teams to ensure seamless model development and deployment. This is a full-time, in-person position based in Cairo.","Strong background in machine learning, deep learning, or AI research (MSc/PhD preferred, but exceptional BSc candidates will be considered)
Proficiency with frameworks such as PyTorch, TensorFlow, or JAX
Solid programming experience in Python and familiarity with libraries such as NumPy, Pandas, scikit-learn, and Hugging Face Transformers
Knowledge of large language models, multimodal architectures, and fine-tuning methods
Experience with cloud computing and GPU training (AWS, GCP, or Azure)
Ability to read research papers and translate ideas into practical experiments
Strong problem-solving and analytical skills
 Nice to Have:
Experience with Arabic language technologies (tokenization, morphology, NLP challenges)
Contributions to open-source projects or published research
Knowledge of data annotation workflows and active learning techniques"
Software Engineer,Arabian Data -,"Nasr City, Cairo, Egypt",6 days ago,Full Time,On-site,"Full Time
On-site
Entry Level · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Software Development
·
Data Engineering
· Python
· Machine Learning
· ETL Processes
· Front-End Development
· front-end web development
· Back-End Development",https://wuzzuf.net/jobs/p/tyn8ftlbyfyx-software-engineer-arabian-data-cairo-egypt,"Confidential, - Competitive Salary. - Equity Options. - Bonuses. - Paid Time Off. - Premium Health Insurance. - Fast-Paced Startup Environment With Direct Impact.","Software Development
Data Engineering
Python
Machine Learning
ETL Processes
Front-End Development
front-end web development
Back-End Development
JavaScript
Typescript
PyTorch
Linux","As a Software Engineer at NeuralBank, you will build core components of our platform, ensuring scalability, performance, and reliability. You will work closely with AI researchers, product managers, and data teams to deliver software solutions that directly advance Arabic AI innovation.","Strong programming skills in Python, JavaScript/TypeScript, or similar languages
Experience with modern web frameworks (e.g., Django, Flask, FastAPI, Node.js, React)
Proficiency with databases (SQL and NoSQL) and cloud platforms (AWS, GCP, or Azure)
Familiarity with Git and collaborative development workflows
Strong problem-solving skills and ability to work in a fast-paced startup environment"
Cost Engineer,Confidential -,"Zamalek, Cairo, Egypt",8 days ago,Full Time,On-site,"Full Time
On-site
Senior Management · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Engineering - Mechanical/Electrical ·
Cost estimation & budgeting Cost control & monitoring Project scheduling & planning Risk analysis & cost forecasting Variance analysis & reporting Contract management & change control Data analysis & interpretation Strong analytical & problem-solvi
·
Cost estimation & budgeting Cost control & monitoring Project scheduling & planning Risk analysis & cost forecasting Variance analysis & reporting Contract management & change control Data analysis & interpretation Strong analytical & problem-solvi
· Risk Assessment
· Cost Estimation
· Budget Management
·
Value Engineering
· Construction Management",https://wuzzuf.net/jobs/p/7odro263z1mv-cost-engineer-cairo-egypt,Confidential,"Cost estimation & budgeting Cost control & monitoring Project scheduling & planning Risk analysis & cost forecasting Variance analysis & reporting Contract management & change control Data analysis & interpretation Strong analytical & problem-solvi
Cost estimation & budgeting Cost control & monitoring Project scheduling & planning Risk analysis & cost forecasting Variance analysis & reporting Contract management & change control Data analysis & interpretation Strong analytical & problem-solvi
Risk Assessment
Cost Estimation
Budget Management
Value Engineering
Construction Management
Problem Solving
Project Cost Control","Prepare detailed cost estimates for construction and engineering projects, ensuring accuracy and completeness.
Analyze project drawings, specifications, and related documents to determine material, labor, and equipment costs.
Monitor project budgets and expenditures, identifying variances and recommending corrective actions.
Collaborate with project managers, engineers, and procurement teams to optimize cost efficiency.
Conduct cost risk analysis and value engineering to maximize project profitability.
Develop and maintain cost databases, historical records, and benchmarking data.
Prepare and present cost reports, forecasts, and financial analyses to stakeholders.
Support tendering and bidding processes by providing cost input and analysis.
Evaluate contractor and supplier quotations to ensure alignment with project budgets.
Assist in the development and implementation of cost control procedures and best practices.","Minimum of 1 year of experience in cost engineering, quantity surveying, or a related field.
Bachelor’s degree in Engineering, Construction Management, or a related discipline.
Strong analytical and numerical skills with attention to detail.
Proficiency in cost estimation software and Microsoft Office Suite.
Excellent communication and interpersonal skills for effective collaboration.
Ability to interpret technical drawings, specifications, and contracts.
Familiarity with industry standards and cost control methodologies.
Demonstrated problem-solving abilities and proactive approach to challenges.
Strong organizational skills and ability to manage multiple priorities.
Willingness to work in a fast-paced and dynamic environment."
Material Control Engineer,Elsewedy industries -,"10th of Ramadan City, Cairo, Egypt",5 days ago,Full Time,On-site,"Full Time
On-site
Entry Level · 1 - 3 Yrs of Exp · Quality · Engineering - Mechanical/Electrical
· Material Control
·
Data Analysis
· Problem Solving
· Attention to Detail
· Time Management
·
Electrical Engineering
· Low Voltage Panels",https://wuzzuf.net/jobs/p/a2mrnd6s6teh-material-control-engineer-elsewedy-industries-cairo-egypt,Confidential,"Material Control
Data Analysis
Problem Solving
Attention to Detail
Time Management
Electrical Engineering
Low Voltage Panels","Prepare Material Purchase Requisitions (PRs) based on open orders and forecast orders with target prices.
Review vendors quotations technically, financially and delivery period.
Prepare evaluation reports and recommend the final accepted vendor.
Review order confirmation (OC) material, quantity, Leadtime and prices Based on released PO.
Follow-up with procurement team for open Purchase Requisitions (PRs) and Purchase Orders (Pos).
Ensure the availability of minimum stock of regular materials.
Support logistics team for Customs requirements.
Monitor and Control for IN/OUT material flow for all departments.
Co-ordinate meetings with vendors for engineering requirements.
Hold meetings with departments’ head to finalize forecasts for material.","Bachelor’s degree in electrical power Engineering.
Technical background on LV & MV Switchgears.
Good command on MS Office, Excel and Oracle System is a plus.
Strong communication and interpersonal skills"
Production Mechanical Engineer,Al-Sallab Engineering Industries -,"10th of Ramadan City, Sharqia, Egypt",12 days ago,Full Time,On-site,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · Manufacturing/Production
· Sheet Metal
· Production Optimization
· Safety Compliance
· Team Collaboration
·
Data Analysis
· Manufacturing Technology
· Troubleshooting
· Preventive Maintenance
· Process Improvement",https://wuzzuf.net/jobs/p/lyuzhdd7jbzr-production-mechanical-engineer-al-sallab-engineering-industries-sharqia-egypt,Confidential,"Sheet Metal
Production Optimization
Safety Compliance
Team Collaboration
Data Analysis
Manufacturing Technology
Troubleshooting
Preventive Maintenance
Process Improvement
Mechanical Engineering
Technical Documentation","At least three years of experience in sheet metal forming, presses, bending and drawing machines.
At least three years of experience in sheet metal forming, presses, bending and drawing machines.
At least three years of experience in sheet metal forming, presses, bending and drawing machines.
At least three years of experience in sheet metal forming, presses, bending and drawing machines.
At least three years of experience in sheet metal forming, presses, bending and drawing machines.
At least three years of experience in sheet metal forming, presses, bending and drawing machines.
At least three years of experience in sheet metal forming, presses, bending and drawing machines.
At least three years of experience in sheet metal forming, presses, bending and drawing machines.
At least three years of experience in sheet metal forming, presses, bending and drawing machines.
At least three years of experience in sheet metal forming, presses, bending and drawing machines.
Oversee and optimize mechanical production processes to ensure efficiency and quality standards are consistently met.
Develop, implement, and maintain preventive maintenance schedules for production equipment and machinery.
Collaborate with cross-functional teams to design and improve manufacturing workflows and layouts.
Analyze production data and metrics to identify areas for process improvement and cost reduction.
Troubleshoot mechanical issues on the production floor and coordinate timely repairs to minimize downtime.
Ensure compliance with safety regulations and company policies throughout the production process.
Support the introduction of new products by developing and refining manufacturing processes.
Train and mentor production staff on equipment operation, safety procedures, and best practices.
Prepare technical reports, documentation, and standard operating procedures for production activities.
Assist in sourcing and evaluating new equipment, tools, and technologies to enhance production capabilities.","At least three years of experience in sheet metal forming, presses, bending and drawing machines.
At least three years of experience in sheet metal forming, presses, bending and drawing machines.
At least three years of experience in sheet metal forming, presses, bending and drawing machines.
At least three years of experience in sheet metal forming, presses, bending and drawing machines.At least three years of experience in sheet metal forming, presses, bending and drawing machines.
Bachelor’s degree in Mechanical Engineering or a related field.
3 to 5 years of experience in a mechanical production or manufacturing engineering role.
Proven track record of optimizing production processes and improving operational efficiency.
Strong knowledge of mechanical systems, manufacturing equipment, and production technologies.
Experience with preventive maintenance and troubleshooting of mechanical machinery.
Familiarity with safety standards and regulatory compliance in a manufacturing environment.
Excellent analytical and problem-solving skills.
Strong communication and teamwork abilities.
Ability to manage multiple tasks and prioritize effectively in a fast-paced setting.
Proficiency in using engineering software and production management tools."
Senior Cost Control Engineer   ,El-Soadaa Group -,"Cairo, Egypt",9 days ago,Full Time,On-site,"Full Time
On-site
Experienced · 5 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture
· - Analytical Credibility
· - Planning and Organization
· - Communication
· - Technical Credibility
· - Detail Oriented
· • Power BI
·
Data Analysis
· AutoCAD
· Primavera",https://wuzzuf.net/jobs/p/prie15jlqwy1-senior-cost-control%20engineer-el-soadaa-group-cairo-egypt,Confidential,"- Analytical Credibility
- Planning and Organization
- Communication
- Technical Credibility
- Detail Oriented
• Power BI
Data Analysis
AutoCAD
Primavera
Time Management"," Implement cost control plans, and coordinate with project managers, contractors, and technical office Engineers to collect all required data and documents and ensures their validity.
Study the direct and indirect cost items to determine the cost centres accordingly, and upload the expense items to their cost centres and reviews them with the managers.
Determine critical-path activities for assigned discipline or specialties and identifies significant activities supporting inter-discipline requirements and identify the critical path for discipline or specialty work activities.
Determine critical-path activities for assigned discipline or specialties and identifies significant activities supporting inter-discipline requirements and identify the critical path for discipline or specialty work activities.
Monitor changes in processes or methods to calculate its effects on overall costs","Previous experience in same role not less than 5 years.
Bachelor’s Degree of Engineering.
 Very good command of English.
AutoCAD & Primavera knowledge.
 Analytical thinking & Time Management.
Power BI & Data Analysis will be preferable."
Junior Cost Control Engineer,Genedy Construction -,"Maadi, Cairo, Egypt",8 days ago,Full Time,Hybrid,"Full Time
Hybrid
Entry Level · 1 - 2 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical
· Cost Control
·
Data Management
· Financial Analysis
· Project Management
· Analytical Thinking
· Time Management
· Communication
· Microsoft Excel",https://wuzzuf.net/jobs/p/amw1epsffjtc-junior-cost-control-engineer-genedy-construction-cairo-egypt,Confidential,"Cost Control
Data Management
Financial Analysis
Project Management
Analytical Thinking
Time Management
Communication
Microsoft Excel","Assist in preparing, monitoring, and updating project cost estimates and budgets.
Support the collection and analysis of cost data from various project phases.
Track project expenditures and compare actual costs against budgeted figures.
Prepare regular cost reports and forecasts for management review.
Identify cost variances and assist in recommending corrective actions.
Collaborate with project managers, engineers, and procurement teams to gather financial data.
Help maintain and update cost control systems and documentation.
Assist in evaluating subcontractor and supplier invoices for accuracy and compliance.
Participate in project meetings to provide cost-related insights and updates.
Support the preparation of financial documentation for audits and project closeouts.","Bachelor’s degree in Engineering, Construction Management, or a related field.
1-2 years of relevant experience in cost control or project engineering within the construction industry.
Familiarity with cost control principles, budgeting, and financial reporting.
Proficiency in Microsoft Excel and cost management software.
Strong analytical and numerical skills with attention to detail.
Ability to work independently and as part of a team in a fast-paced environment.
Excellent communication and interpersonal skills.
Strong organizational and time management abilities.
Eagerness to learn and adapt to new tools and processes.
Ability to work remotely and manage tasks efficiently in a home-based setting."
Quality Control Engineer (Blown Film),Aldawlia For Plastic Materials -,"10th of Ramadan City, Cairo, Egypt",11 days ago,Full Time,On-site,"Full Time
On-site
Experienced · 5 - 7 Yrs of Exp · males_only · Manufacturing/Production · Quality · Engineering - Mechanical/Electrical
· Chemist
· ISO 22000
· quality
· Quality Control
·
Plastics Engineering
· Plastic Extrusion
· Process Improvement",https://wuzzuf.net/jobs/p/zxm7jnbyzz7w-quality-control-engineer-blown-film-aldawlia-for-plastic-materials-cairo-egypt,Confidential,"Chemist
ISO 22000
quality
Quality Control
Plastics Engineering
Plastic Extrusion
Process Improvement
Blown Film Manufacturing
Statistical Process Control (SPC)
Laboratory Testing
Documentation and Reporting
ISO 9001 Compliance
Data Analysis","Understand customer needs and requirements to develop effective quality control processes
Devise and review specifications for products or processes
Set requirements for raw material or intermediate products for suppliers and monitor their compliance
Ensure adherence to health and safety guidelines as well as legal obligations
Supervise inspectors, technicians and other staff and provide guidance and feedback
Oversee all product development procedures to identify deviations from quality standards
Inspect final output and compare properties to requirements
Approve the right products or reject defectives
Keep accurate documentation and perform statistical analysis
Solicit feedback from customers to assess whether their requirements are met
Submit detailed reports to appropriate executives
Be on the lookout for opportunities for improvement and develop new efficient procedures
Coordinate with external quality assurance auditors and technicians to ensure legal compliance","Proven experience as quality control (Blown Film) - Plastic
Conscientious and responsible
A keen eye for detail and a result driven approach
Outstanding communication skills
Excellent organizational and leadership skills
Proficient in MS Office
In depth understanding of quality control procedures and relevant legal standards
Excellent math abilities and working knowledge of data analysis/statistical methods
BSc/ Ba in Chemist or relevant field
Certification of quality control is a strong advantage (ISO 22000 etc.)"
Production Engineer (Blown Film),Aldawlia For Plastic Materials -,"10th of Ramadan City, Sharqia, Egypt",11 days ago,Full Time,On-site,"Full Time
On-site
Experienced · 5 - 7 Yrs of Exp · males_only · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering - Other
· Plastic Extrusion
·
Plastics Engineering
· Manufacturing Industry
·
Mechanical Engineering
· Microsoft Office
· Manufacturing
· Production",https://wuzzuf.net/jobs/p/7aw8ktm0f32m-production-engineer-blown-film-aldawlia-for-plastic-materials-sharqia-egypt,Confidential,"Plastic Extrusion
Plastics Engineering
Manufacturing Industry
Mechanical Engineering
Microsoft Office
Manufacturing
Production
Production management
Blown film extrusion
Process optimization
Troubleshooting and maintenance
Quality assurance
Data analysis and reporting
Safety compliance","Assisting Shift leader/ Exe officer for all the activities assigned to him.
Following and executing the production plan received from the planning
Executing all production activities involved in producing quality films.
Adjusting the machine setting as per the approved SOP of each product
Executing all activities involved  in the recycling system
Attending to the faults encountered during the process for production as well as the quality of the film
Coordinating with maintenance department during break down as well as to intimate if any abnormality found during running process and planning for preventive shutdowns.
Coordinating with quality control for the quality of the continuously running product as per the specification as well as follow up on the history of earlier produced material
Coordinating with slitting and metalizing for various affairs related to production
Procuring raw materials and consumables required from the store
Data entry in ERP and monitoring/generation of various reports required to track production performance
Responsible for complete housekeeping of plants to maintain the required Hygiene level as we are producing food-grade products.
Following safe operation practices to ensure the safe operation of machines as well as consider the safety of people involved in the operation
Following and executing the various instructions given by the superiors based on time to time requirement related to operations
Use equipment properly and follow safety features","B. Sc.in Engineering. ( Mechanical - Production)
Using the computer and its applications (Microsoft Office).
Very good English speaking
Resolving problems in an efficient manner.
Handling stressful situations and projects.
Collaborating in team activities.
Have experience in blown film or plastic field"
Production Engineer,Confidential -,"10th of Ramadan City, Sharqia, Egypt",11 days ago,Full Time,On-site,"Full Time
On-site
Experienced · 2 - 4 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering - Other ·
Engineering
· Production process optimization
·
Manufacturing engineering
· Problem-solving
· Team collaboration
· Process improvement
·
Data analysis",https://wuzzuf.net/jobs/p/s1pw6uzhkn3m-production-engineer-sharqia-egypt,Confidential,"Engineering
Production process optimization
Manufacturing engineering
Problem-solving
Team collaboration
Process improvement
Data analysis
Technical reporting
Lean manufacturing
Quality assurance
Equipment maintenance","Ensure production follows the daily plan and meets targets.
Monitor and reduce production waste by analyzing root causes.
Track machine performance and productivity metrics.
Perform inventory checks to control material usage and variance.
Prepare tools and ensure new products are compatible with machines.","Bachelor’s degree in Production Engineering
2–4 years of experience
Familiarity with production planning, waste tracking, and machine efficiency monitoring
Ability to use production monitoring tools and basic MS Excel or ERP systems
Strong analytical and problem-solving skills.
Good organizational and time management abilities.
Ability to work under pressure and manage multiple production lines.
Clear communication and team coordination skills.
Willingness to work in shifts or extended hours if required.
Basic proficiency in English (especially for technical terms and reporting)"
